"TransportationMode" "ClassOfWorker" "Sex" "MaritalStatus" "HealthInsurance" "EducationLevel" "HomeOffice" "AgeBracket" "OccupationType" "RelativeIncome" "CommuteTime"
"Home Office" "Employee" "Male" "Married" "Health Insurance" "Bachelor" "Home Office" "50-59" "Other" "Very High" "Yes"
"Driving" "Employee" "Female" "Married" "Health Insurance" "Master" "Not Home Office" "40-49" "IT" "Somewhere In The Middle" "No"
"Biking" "Employee" "Male" "Not Married" "Health Insurance" "Master" "Not Home Office" "18-29" "Education" "Somewhere In The Middle" "No"
"Driving" "Employee" "Male" "Married" "Health Insurance" "Bachelor" "Not Home Office" "18-29" "IT" "Rather High" "No"
NA "Employee" "Female" "Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Other" "Very Low" NA
NA NA "Female" "Separated, Divorced, Widowed" "Health Insurance" "High School" "Not Home Office" "60+" NA "Very Low" NA
NA "Employee" "Male" "Married" "Health Insurance" "High School" "Not Home Office" "60+" "Other" "Rather Low" NA
NA "Employee" "Female" "Married" "Health Insurance" "High School" "Not Home Office" "60+" "Other" "Rather Low" NA
"Walking" "Employee" "Male" "Not Married" "Health Insurance" "Master" "Not Home Office" "18-29" "Education" "Very Low" "No"
"Driving" "Employee" "Female" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Education" "Very Low" "No"
NA NA "Male" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Other" "Very Low" NA
NA "Employee" "Female" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Other" "Very Low" NA
"Biking" "Employee" "Female" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Art" "Very Low" "No"
NA "Employee" "Female" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Other" "Very Low" NA
"Biking" "Employee" "Female" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Other" "Very Low" "No"
NA "Employee" "Female" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Art" "Very Low" NA
"Biking" "Employee" "Female" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Other" "Very Low" "No"
NA NA "Male" "Married" "Health Insurance" "Doctoral or Higher" "Not Home Office" "60+" NA "Somewhere In The Middle" NA
NA NA "Female" "Married" "Health Insurance" "Bachelor" "Not Home Office" "60+" NA "Very Low" NA
NA "Freelancer" "Female" "Separated, Divorced, Widowed" "Health Insurance" "Master" "Not Home Office" "60+" "Business Development" "Rather Low" NA
NA NA "Male" "Separated, Divorced, Widowed" "Health Insurance" "High School" "Not Home Office" "60+" NA "Very Low" NA
"Driving" "Employee" "Male" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "IT" "Very Low" "No"
NA "Employee" "Male" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Other" "Very Low" NA
NA "Employee" "Female" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Other" "Very Low" NA
"Walking" "Employee" "Male" "Married" "Health Insurance" "Doctoral or Higher" "Not Home Office" "50-59" "Education" "Somewhere In The Middle" "No"
NA "Employee" "Female" "Married" "Health Insurance" "Bachelor" "Not Home Office" "40-49" "Other" "Somewhere In The Middle" NA
"Driving" "Employee" "Female" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Other" "Very Low" "No"
NA "Employee" "Male" "Not Married" "No Health Insurance" "Bachelor" "Not Home Office" "18-29" "Other" "Very Low" NA
"Driving" "Employee" "Female" "Not Married" "Health Insurance" "Bachelor" "Not Home Office" "18-29" "Other" "Rather Low" "No"
NA NA "Male" "Married" "Health Insurance" "No Education" "Not Home Office" "60+" NA "Very Low" NA
NA NA "Female" "Married" "Health Insurance" "High School" "Not Home Office" "60+" NA "Very Low" NA
"Biking" "Employee" "Male" "Married" "Health Insurance" "Bachelor" "Not Home Office" "60+" "Other" "Rather High" "No"
"Driving" "Employee" "Female" "Married" "Health Insurance" "Bachelor" "Not Home Office" "60+" "Other" "Rather Low" "No"
NA "Employee" "Female" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Other" "Very Low" NA
NA NA "Female" "Married" "Health Insurance" "Master" "Not Home Office" "60+" NA "Somewhere In The Middle" NA
NA NA "Male" "Married" "Health Insurance" "Master" "Not Home Office" "60+" NA "Somewhere In The Middle" NA
"Home Office" "Freelancer" "Female" "Married" "Health Insurance" "Master" "Home Office" "40-49" "PR, Marketing, Sales, Advertising" "Somewhere In The Middle" "Yes"
"Biking" "Employee" "Male" "Married" "Health Insurance" "Doctoral or Higher" "Not Home Office" "40-49" "Education" "Somewhere In The Middle" "No"
NA "Freelancer" "Female" "Married" "Health Insurance" "Bachelor" "Not Home Office" "40-49" "Design" "Very Low" NA
NA "Employee" "Male" "Married" "Health Insurance" "Bachelor" "Not Home Office" "50-59" "Higher Management" "Very Low" NA
"Home Office" "Employee" "Female" "Separated, Divorced, Widowed" "Health Insurance" "High School" "Home Office" "30-39" "Other" "Very Low" "Yes"
"Driving" "Freelancer" "Female" "Married" "Health Insurance" "Bachelor" "Not Home Office" "40-49" "Other" "Very Low" "No"
"Driving" "Employee" "Male" "Married" "Health Insurance" "High School" "Not Home Office" "50-59" "Other" "Somewhere In The Middle" "No"
"Driving" "Entrepreneur" "Male" "Separated, Divorced, Widowed" "Health Insurance" "High School" "Not Home Office" "50-59" "Business Development" "Somewhere In The Middle" "No"
"Driving" "Employee" "Male" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Other" "Very Low" "No"
NA "Employee" "Male" "Not Married" "No Health Insurance" "High School" "Not Home Office" "18-29" "Other" "Rather Low" NA
NA "Employee" "Female" "Married" "Health Insurance" "Bachelor" "Not Home Office" "40-49" "Higher Management" "Very Low" NA
"Driving" "Employee" "Male" "Married" "Health Insurance" "Bachelor" "Not Home Office" "40-49" "Higher Management" "Rather High" "No"
NA "Freelancer" "Female" "Separated, Divorced, Widowed" "Health Insurance" "Bachelor" "Not Home Office" "60+" "Other" "Somewhere In The Middle" NA
NA NA "Female" "Separated, Divorced, Widowed" "Health Insurance" "High School" "Not Home Office" "60+" NA "Somewhere In The Middle" NA
"Driving" "Employee" "Male" "Separated, Divorced, Widowed" "Health Insurance" "Bachelor" "Not Home Office" "60+" "Other" "Somewhere In The Middle" "No"
"Driving" "Employee" "Female" "Separated, Divorced, Widowed" "No Health Insurance" "Bachelor" "Not Home Office" "30-39" "Other" "Very Low" "No"
NA "Employee" "Female" "Not Married" "Health Insurance" "No Education" "Not Home Office" "18-29" "Other" "Very Low" NA
NA NA "Female" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" NA "Very Low" NA
"Public Transit" "Employee" "Female" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Education" "Very Low" "No"
NA "Employee" "Female" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Other" "Very Low" NA
"Public Transit" "Employee" "Female" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Other" "Very Low" "No"
NA NA "Female" "Separated, Divorced, Widowed" "Health Insurance" "Doctoral or Higher" "Not Home Office" "60+" NA "Very Low" NA
NA NA "Male" "Married" "Health Insurance" "High School" "Not Home Office" "60+" NA "Rather Low" NA
NA NA "Female" "Married" "Health Insurance" "High School" "Not Home Office" "60+" NA "Very Low" NA
"Driving" "Employee" "Female" "Married" "Health Insurance" "High School" "Not Home Office" "50-59" "Other" "Rather Low" "No"
"Driving" "Employee" "Male" "Married" "Health Insurance" "Bachelor" "Not Home Office" "50-59" "Other" "Rather Low" "No"
"Walking" "Employee" "Male" "Not Married" "Health Insurance" "High School" "Not Home Office" "60+" "Other" "Somewhere In The Middle" "No"
"Biking" "Employee" "Male" "Married" "Health Insurance" "High School" "Not Home Office" "30-39" "Other" "Somewhere In The Middle" "No"
"Driving" "Employee" "Female" "Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Education" "Rather Low" "No"
"Driving" "Employee" "Male" "Married" "Health Insurance" "Bachelor" "Not Home Office" "30-39" "Other" "Rather High" "No"
"Driving" "Employee" "Female" "Married" "Health Insurance" "Bachelor" "Not Home Office" "30-39" "Other" "Rather High" "No"
NA "Employee" "Male" "Not Married" "Health Insurance" "High School" "Not Home Office" "50-59" "Other" "Very Low" NA
NA NA "Female" "Separated, Divorced, Widowed" "Health Insurance" "Bachelor" "Not Home Office" "60+" NA "Somewhere In The Middle" NA
NA "Employee" "Female" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Education" "Rather Low" NA
"Driving" "Freelancer" "Male" "Separated, Divorced, Widowed" "Health Insurance" "High School" "Not Home Office" "60+" "Other" "Rather Low" "No"
"Biking" "Employee" "Female" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Other" "Rather Low" "No"
NA NA "Female" "Married" "Health Insurance" "Bachelor" "Not Home Office" "60+" NA "Rather Low" NA
NA NA "Male" "Married" "Health Insurance" "Bachelor" "Not Home Office" "60+" NA "Somewhere In The Middle" NA
"Home Office" "Employee" "Male" "Separated, Divorced, Widowed" "Health Insurance" "High School" "Home Office" "40-49" "Higher Management" "Rather Low" "Yes"
"Driving" "Employee" "Male" "Married" "Health Insurance" "High School" "Not Home Office" "60+" "Higher Management" "Rather High" "No"
NA "Employee" "Female" "Married" "Health Insurance" "High School" "Not Home Office" "60+" "Other" "Rather Low" NA
NA NA "Female" "Married" "Health Insurance" "Bachelor" "Not Home Office" "60+" NA "Very Low" NA
"Driving" "Freelancer" "Male" "Married" "Health Insurance" "High School" "Not Home Office" "60+" "Higher Management" "Somewhere In The Middle" "No"
"Driving" "Employee" "Male" "Separated, Divorced, Widowed" "Health Insurance" "No Education" "Not Home Office" "40-49" "Other" "Somewhere In The Middle" "No"
"Driving" "Employee" "Male" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Other" "Very Low" "No"
NA NA "Male" "Married" "Health Insurance" "Bachelor" "Not Home Office" "60+" NA "Rather High" NA
NA NA "Female" "Married" "Health Insurance" "Bachelor" "Not Home Office" "60+" NA "Rather Low" NA
"Driving" "Employee" "Female" "Separated, Divorced, Widowed" "Health Insurance" "Master" "Not Home Office" "40-49" "Education" "Somewhere In The Middle" "No"
"Driving" "Employee" "Female" "Married" "Health Insurance" "Bachelor" "Not Home Office" "60+" "Other" "Rather High" "No"
NA "Employee" "Female" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Other" "Rather Low" NA
"Driving" "Employee" "Male" "Married" "Health Insurance" "Master" "Not Home Office" "50-59" "Higher Management" "Rather High" "No"
NA "Employee" "Female" "Married" "Health Insurance" "High School" "Not Home Office" "50-59" "Higher Management" "Very Low" NA
NA "Employee" "Male" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Other" "Very Low" NA
NA NA "Male" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" NA "Somewhere In The Middle" NA
"Driving" "Employee" "Male" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Other" "Very Low" "No"
NA "Employee" "Female" "Married" "Health Insurance" "High School" "Not Home Office" "60+" "Other" "Rather Low" NA
"Biking" "Employee" "Male" "Married" "Health Insurance" "High School" "Not Home Office" "60+" "PR, Marketing, Sales, Advertising" "Very Low" "No"
NA NA "Male" "Not Married" "No Health Insurance" "High School" "Not Home Office" "18-29" NA "Very Low" NA
NA NA "Male" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" NA "Very Low" NA
NA NA "Female" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" NA "Very Low" NA
"Driving" "Employee" "Female" "Not Married" "No Health Insurance" "High School" "Not Home Office" "18-29" "Other" "Very Low" "No"
"Walking" "Employee" "Male" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Business Development" "Very Low" "No"
NA "Employee" "Male" "Married" "Health Insurance" "Bachelor" "Not Home Office" "50-59" "Higher Management" "Somewhere In The Middle" NA
"Driving" "Employee" "Female" "Married" "Health Insurance" "High School" "Not Home Office" "50-59" "Other" "Rather Low" "No"
NA "Employee" "Female" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Design" "Rather Low" NA
"Driving" "Employee" "Male" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Other" "Very Low" "No"
"Driving" "Freelancer" "Male" "Married" "Health Insurance" "Bachelor" "Not Home Office" "60+" "Other" "Very High" "No"
NA NA "Female" "Married" "Health Insurance" "Master" "Not Home Office" "60+" NA "Very Low" NA
"Driving" "Employee" "Female" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Other" "Rather Low" "No"
NA NA "Male" "Separated, Divorced, Widowed" "Health Insurance" "High School" "Not Home Office" "60+" NA "Rather Low" NA
"Driving" "Employee" "Male" "Married" "Health Insurance" "Master" "Not Home Office" "50-59" "IT" "Rather High" "No"
"Driving" "Employee" "Female" "Married" "Health Insurance" "Master" "Not Home Office" "50-59" "IT" "Somewhere In The Middle" "No"
NA "Employee" "Female" "Married" "Health Insurance" "High School" "Not Home Office" "30-39" "Education" "Very Low" NA
"Driving" "Employee" "Male" "Married" "Health Insurance" "High School" "Not Home Office" "30-39" "Other" "Very High" "No"
"Driving" "Employee" "Female" "Not Married" "Health Insurance" "Master" "Not Home Office" "30-39" "Other" "Rather Low" "No"
"Driving" "Employee" "Male" "Not Married" "Health Insurance" "Doctoral or Higher" "Not Home Office" "30-39" "Other" "Rather High" "No"
NA "Employee" "Female" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Other" "Very Low" NA
"Public Transit" "Employee" "Female" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Other" "Rather Low" "No"
NA "Employee" "Male" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Other" "Very Low" NA
"Driving" "Employee" "Female" "Married" "Health Insurance" "Doctoral or Higher" "Not Home Office" "30-39" "Research" "Somewhere In The Middle" "No"
NA "Employee" "Male" "Married" "Health Insurance" "Bachelor" "Not Home Office" "30-39" "Design" "Rather Low" NA
"Driving" "Employee" "Female" "Not Married" "Health Insurance" "Bachelor" "Not Home Office" "30-39" "PR, Marketing, Sales, Advertising" "Somewhere In The Middle" "No"
NA NA "Female" "Separated, Divorced, Widowed" "Health Insurance" "High School" "Not Home Office" "60+" NA "Very Low" NA
"Walking" "Employee" "Female" "Married" "No Health Insurance" "No Education" "Not Home Office" "60+" "Other" "Very Low" "No"
NA NA "Male" "Separated, Divorced, Widowed" "Health Insurance" "Bachelor" "Not Home Office" "60+" NA "Very Low" NA
"Public Transit" "Employee" "Female" "Married" "No Health Insurance" "High School" "Not Home Office" "60+" "Other" "Rather Low" "No"
NA NA "Male" "Separated, Divorced, Widowed" "Health Insurance" "High School" "Not Home Office" "60+" NA "Rather Low" NA
NA NA "Male" "Not Married" "Health Insurance" "Doctoral or Higher" "Not Home Office" "60+" NA "Rather Low" NA
"Driving" "Employee" "Female" "Separated, Divorced, Widowed" "Health Insurance" "Master" "Not Home Office" "60+" "Other" "Somewhere In The Middle" "No"
"Driving" "Employee" "Female" "Married" "Health Insurance" "High School" "Not Home Office" "40-49" "Other" "Rather Low" "No"
"Driving" "Employee" "Male" "Married" "Health Insurance" "Bachelor" "Not Home Office" "50-59" "Other" "Somewhere In The Middle" "No"
NA "Employee" "Female" "Married" "Health Insurance" "High School" "Not Home Office" "50-59" "Other" "Rather Low" NA
"Driving" "Employee" "Male" "Married" "Health Insurance" "High School" "Not Home Office" "60+" "Other" "Rather High" "No"
"Driving" "Employee" "Male" "Married" "Health Insurance" "Doctoral or Higher" "Not Home Office" "50-59" "Education" "Rather High" "No"
